cve_ent,entidad,cve_plantel,plantel,periodo_semestral,Porcentaje_de_abandono_escolar
25,Sinaloa,317,Escuinapa,2021_2022,11.7
25,Sinaloa,118,Guasave,2021_2022,8.2
25,Sinaloa,114,Ing. José Antonio Padilla Segura-Culiacán II,2021_2022,10.2
25,Sinaloa,95,Juan de Dios Bátiz,2021_2022,7.4
25,Sinaloa,117,Juan José Ríos,2021_2022,8.7
25,Sinaloa,120,La Reforma,2021_2022,13.4
25,Sinaloa,45,Los Mochis,2021_2022,5.5
25,Sinaloa,315,Los Mochis II,2021_2022,18.2
25,Sinaloa,46,Mazatlán I,2021_2022,4.8
25,Sinaloa,62,Mazatlán II,2021_2022,9.3
25,Sinaloa,119,Mocorito,2021_2022,15.2
25,Sinaloa,115,Navolato,2021_2022,8.1
26,Sonora,253,Agua Prieta,2021_2022,20.7
26,Sonora,141,Alvaro Obregón Salido - Huatabampo,2021_2022,18.5
26,Sonora,148,Caborca,2021_2022,17.8
26,Sonora,96,Ciudad Obregón,2021_2022,14.9
26,Sonora,97,Empalme,2021_2022,10.5
26,Sonora,50,Gral. Plutarco Elías Calles - Guaymas,2021_2022,15.5
26,Sonora,47,Hermosillo I,2021_2022,15.8
26,Sonora,48,Hermosillo II,2021_2022,25.1
26,Sonora,179,Hermosillo III,2021_2022,16
26,Sonora,264,Magdalena de Kino,2021_2022,10.8
26,Sonora,49,Nacozari,2021_2022,12.5
26,Sonora,140,Navojoa,2021_2022,15
26,Sonora,142,Nogales,2021_2022,17.3
26,Sonora,202,San Luis Río Colorado,2021_2022,9
27,Tabasco,52,Cárdenas,2021_2022,8.9
27,Tabasco,291,Comalcalco,2021_2022,4.6
27,Tabasco,99,Lic. Manrique Dagdug Urgell,2021_2022,10.1
27,Tabasco,53,Macuspana,2021_2022,3.2
27,Tabasco,100,Paraíso,2021_2022,6.7
27,Tabasco,51,Villahermosa I,2021_2022,7.2
27,Tabasco,98,Villahermosa II,2021_2022,6.7
28,Tamaulipas,127,Ciudad Mante,2021_2022,12.6
28,Tamaulipas,172,Ciudad Victoria,2021_2022,2.9
28,Tamaulipas,55,Matamoros,2021_2022,4.3
28,Tamaulipas,259,Miguel Alemán,2021_2022,14
28,Tamaulipas,246,Nuevo Laredo,2021_2022,6.6
28,Tamaulipas,129,Reynosa,2021_2022,11.2
28,Tamaulipas,200,Río Bravo,2021_2022,4.8
28,Tamaulipas,54,Tampico,2021_2022,5.4
29,Tlaxcala,56,Amaxac de Guerrero,2021_2022,9.4
29,Tlaxcala,251,Teacalco,2021_2022,5.5
29,Tlaxcala,101,Zacualpan,2021_2022,6.8
30,Veracruz Llave,337,Alamo,2021_2022,3.4
30,Veracruz Llave,338,Cordoba,2021_2022,11.8
30,Veracruz Llave,58,Don Juan Osorio López,2021_2022,8.1
30,Veracruz Llave,122,Dr. Gonzalo Aguirre Beltrán,2021_2022,7.4
30,Veracruz Llave,201,Dr. Guillermo Figueroa Cárdenas,2021_2022,7
30,Veracruz Llave,104,Juan Díaz Covarrubias,2021_2022,2.4
30,Veracruz Llave,165,Lic. Jesús Reyes Heroles,2021_2022,10.1
30,Veracruz Llave,244,Manuel Maples Arce,2021_2022,2.2
