entidad,cve_plantel,plantel,periodo_semestral,Porcentaje_de_abandono_escolar
México,238.0,Tecámac,2021_2022,10.9
México,80.0,Temoaya,2021_2022,6.9
México,185.0,Texcoco,2021_2022,10.4
México,193.0,Tlalnepantla I,2021_2022,9.3
México,228.0,Tlalnepantla II,2021_2022,7.1
México,231.0,Tlalnepantla III,2021_2022,5.2
México,34.0,Toluca,2021_2022,6.6
México,194.0,Tultitlán,2021_2022,9.0
México,13.0,Valle de Aragón,2021_2022,9.7
México,82.0,Villa Victoria,2021_2022,9.0
Michoacán de Ocampo,85.0,Apatzingán,2021_2022,6.7
Michoacán de Ocampo,256.0,Ciudad Hidalgo,2021_2022,14.4
Michoacán de Ocampo,87.0,La Piedad,2021_2022,12.9
Michoacán de Ocampo,35.0,Lázaro Cárdenas,2021_2022,13.5
Michoacán de Ocampo,180.0,Los Reyes,2021_2022,12.2
Michoacán de Ocampo,83.0,Morelia I,2021_2022,16.1
Michoacán de Ocampo,239.0,Morelia II,2021_2022,6.1
Michoacán de Ocampo,84.0,Pátzcuaro,2021_2022,14.8
Michoacán de Ocampo,167.0,Sahuayo,2021_2022,15.4
Michoacán de Ocampo,89.0,Uruapan,2021_2022,12.2
Michoacán de Ocampo,86.0,Zacapu,2021_2022,9.4
Michoacán de Ocampo,88.0,Zamora,2021_2022,14.4
Michoacán de Ocampo,240.0,Zitácuaro,2021_2022,8.7
Morelos,173.0,Cuautla,2021_2022,18.9
Morelos,241.0,Cuernavaca,2021_2022,17.1
Morelos,294.0,Jiutepec - Calera Chica,2021_2022,9.9
Morelos,36.0,Temixco,2021_2022,11.5
Morelos,283.0,Tepoztlán,2021_2022,19.3
Nayarit,311.0,Bahia de Banderas,2021_2022,12.0
Nayarit,257.0,Peñita de Jaltemba,2021_2022,16.5
Nayarit,169.0,Tepic,2021_2022,16.2
Nayarit,310.0,Tepic II,2021_2022,16.1
Nuevo León,332.0,Cadereyta Jiménez,2021_2022,24.9
Nuevo León,296.0,Don Benjamín Salinas Westrup,2021_2022,17.4
Nuevo León,290.0,Don Carlos Maldonado Elizondo,2021_2022,18.6
Nuevo León,242.0,Don Humberto Lobo Villarreal,2021_2022,20.3
Nuevo León,213.0,Don José María Hernández Martínez,2021_2022,27.2
Nuevo León,90.0,Don Protasio Rodríguez Cuéllar,2021_2022,32.7
Nuevo León,295.0,Don Víctor Gómez Garza,2021_2022,25.0
Nuevo León,135.0,Dr. Arroyo,2021_2022,19.1
Nuevo León,289.0,Dr. Carlos Canseco González,2021_2022,29.0
Nuevo León,123.0,Dr. Eduardo Macías Santos,2021_2022,19.7
Nuevo León,254.0,Ing. Adrián Sada Treviño,2021_2022,25.0
Nuevo León,91.0,Ing. Gustavo M. de la Garza Ortega,2021_2022,21.5
Nuevo León,37.0,Ing. José Antonio Padilla Segura I,2021_2022,26.0
Nuevo León,300.0,Joel Rocha Barocio,2021_2022,20.2
Nuevo León,314.0,José María Parás y Ballesteros,2021_2022,22.2
Nuevo León,333.0,Lic. Bárbara Herrera de Garza,2021_2022,33.4
Nuevo León,38.0,Lic. Raúl Rangel Frias,2021_2022,30.5
Nuevo León,157.0,Dr. Victor Bravo Ahuja-Tuxtepec,2021_2022,18.5
Oaxaca,145.0,Gral. Antonio de León,2021_2022,14.9
Oaxaca,243.0,Juchitán,2021_2022,13.1
Oaxaca,39.0,Oaxaca,2021_2022,22.4
Oaxaca,158.0,Puerto Escondido,2021_2022,22.2
Oaxaca,155.0,Salina Cruz,2021_2022,9.6
Puebla,93.0,Atencingo,2021_2022,11.0
Puebla,151.0,Calipam,2021_2022,8.6
Puebla,265.0,Chipilo,2021_2022,21.6
Puebla,152.0,Huauchinango,2021_2022,12.4
Puebla,40.0,Puebla I,2021_2022,8.7
Puebla,175.0,Puebla II,2021_2022,17.8
Puebla,261.0,Puebla III,2021_2022,16.8
Puebla,149.0,San Martín Texmelucan,2021_2022,13.7
Puebla,150.0,Tehuacán,2021_2022,14.0
Puebla,153.0,Teziutlán,2021_2022,5.9
Querétaro de Arteaga,328.0,Aeronáutico,2021_2022,12.5
Querétaro de Arteaga,280.0,Amealco,2021_2022,9.4
Querétaro de Arteaga,336.0,Querétaro,2021_2022,21.2
Querétaro de Arteaga,41.0,Querétaro II,2021_2022,25.5
Querétaro de Arteaga,42.0,San Juan del Rio,2021_2022,20.4
Quintana Roo,9.0,Cancún,2021_2022,6.1
Quintana Roo,286.0,Cancún II,2021_2022,3.2
Quintana Roo,298.0,Cancún III,2021_2022,11.2
Quintana Roo,339.0,Cancún IV,2021_2022,13.8
Quintana Roo,65.0,Cozumel,2021_2022,12.5
Quintana Roo,102.0,Felipe Carrillo Puerto,2021_2022,13.3
Quintana Roo,7.0,Lic. Jesús Martínez Ross - Chetumal,2021_2022,9.7
Quintana Roo,297.0,Playa del Carmen,2021_2022,7.2
San Luis Potosí,44.0,Ciudad Valles,2021_2022,7.1
San Luis Potosí,205.0,Ing. Manuel Moreno Torres S.L.P.,2021_2022,15.1
San Luis Potosí,43.0,Matehuala,2021_2022,10.3
San Luis Potosí,94.0,San Luis Potosí,2021_2022,16.8
San Luis Potosí,176.0,Villa de Reyes,2021_2022,7.8
Sinaloa,316.0,Culiacan III,2021_2022,4.9
Sinaloa,329.0,Culiacan IV,2021_2022,13.7
Sinaloa,116.0,El Carrizo,2021_2022,15.6
Sinaloa,121.0,El Rosario,2021_2022,9.6
Sinaloa,317.0,Escuinapa,2021_2022,11.7
Sinaloa,118.0,Guasave,2021_2022,8.2
